 4/ 7/1908	 P0E 1EE8 +
 4/13/1908	 P0E 1EE8  
 4/21/1908	 P0E 1EE9 -
 4/30/1908	 P0E 1EE9  
 5/ 6/1908	 P0E 1EJ5  
 5/14/1908	 P0E 1EJ5 +
 5/21/1908	 P0E 1EJ6  
 5/23/1908	15EE 1EJ6  
 5/30/1908	15EE 1EJ6 +
 6/22/1908	15EE 1EJ7  
 7/ 8/1908	1E8E 1EJ7  
 7/23/1908	1E8E 1EJ8 -
 8/ 7/1908	1E8E 1EJ8  
 8/22/1908	1E8E 1EJ8 +
 8/24/1908	234E 1EJ9  
 9/ 8/1908	234E 1EJ9 +
 9/ 9/1908	234E 1EL5 +
 9/12/1908	234E 23A5 +
 9/23/1908	234E 23A6  
 9/29/1908	234E 23A6 +
10/ 8/1908	234E 23D2 +
10/10/1908	2A0E 23D2 +
10/24/1908	2A0E 23D3  
11/ 2/1908	2A0E 23D3 -
11/ 3/1908	2A0E 23DP -
11/12/1908	2A0E 23DP  
11/23/1908	2A0E 23E0 -
11/26/1908	30EE 23E0 -
11/28/1908	30EE 23EE -
12/ 4/1908	30EE 23EE  
12/22/1908	30EE 23EJ -
12/23/1908	30EE 23J9  
 1/10/1909	378E 23J9 +
 1/16/1909	378E 23L5 +
 1/21/1909	378E 23L6  
 2/ 9/1909	378E 23P2  
 2/19/1909	378E 23P3 -
 2/24/1909	3L4E 23P3 -
 3/ 5/1909	3L4E 23PP -
 3/17/1909	3L4E 23PP  
 3/21/1909	3L4E 23P4 +
 3/29/1909	3L4E 2370 +
 4/ 6/1909	3L4E 2370  
 4/10/1909	450E 2370  
 4/21/1909	450E 2371  
 4/22/1909	450E 237J  
 5/ 6/1909	450E 237J +
 5/17/1909	450E 2389 +
 5/22/1909	450E 238A  
 5/26/1909	4DEE 238A  
 6/10/1909	4DEE 2396  
 6/22/1909	4DEE 2397 -
 7/ 5/1909	4DEE 23A3 -
 7/13/1909	4DEE 23A3  
 7/21/1909	 18E 23A3  
 7/24/1909	 18E 23A4 -
 7/29/1909	 18E 23D0 -
 7/30/1909	 18E 23D0  
 8/14/1909	 18E 23D0 +
 8/23/1909	 18E 23DE +
 8/24/1909	 18E 23DJ  
 9/ 1/1909	 18E 23DJ +
 9/17/1909	 18E 23E9 +
 9/24/1909	 18E 23EA  
 9/27/1909	4DEE 23EA  
10/12/1909	4DEE 2A96  
