 1/ 1/1979	42D9 1PJJ -
 2/17/1981	4EL6 2J82  
 2/19/1981	4J76 2J83 -
 2/21/1981	4L06 2J83 -
 2/24/1981	4L96 2J83 -
 2/26/1981	4P26 2J83 -
 2/28/1981	4P26 2J8P -
 3/ 1/1981	4PD6 2J8P -
 3/ 3/1981	5046 2J8P -
 3/ 5/1981	50J6 2J8P -
 3/ 7/1981	4AA6 2J8P -
 3/ 9/1981	4D36 2J8P -
 3/11/1981	4DE6 2J8P -
 3/14/1981	4E56 2J8P -
 3/16/1981	4EL6 2J8P -
 3/17/1981	02A6 2J8P -
 3/18/1981	0336 2J8P  
 3/21/1981	03DA 2J84 -
 3/23/1981	044A 2J84 -
 3/24/1981	044A 2J00 -
 3/26/1981	04JA 2J00 -
 3/28/1981	056A 2J00 -
 3/31/1981	05PA 2J00 -
 4/ 2/1981	068A 2J00 -
 4/ 4/1981	005A 2J00 -
 4/ 6/1981	00LA 2J00 -
 4/ 8/1981	017A 2J00  
 4/10/1981	020A 2J00  
 4/12/1981	029A 2J00  
 4/14/1981	032A 2J00  
 4/17/1981	03DA 2J00  
 4/18/1981	03DA 2J0E  
 4/19/1981	044A 2J0E  
 4/20/1981	044A 2J0J -
 4/22/1981	04JA 2J0J -
 4/24/1981	056A 2J0J  
 4/25/1981	0E2A 2J0J  
 4/27/1981	0EDA 2J0J  
 4/29/1981	0J4A 2J0J  
 5/ 1/1981	071A 2J0J  
 5/ 3/1981	07AA 2J0J  
 5/ 5/1981	083A 2J0J  
 5/ 7/1981	08EA 2J0J  
 5/ 8/1981	08EA 2J0J +
 5/ 9/1981	095A 2J0J +
 5/12/1981	09LA 2J19 +
 5/14/1981	0A7A 2J19 +
 5/17/1981	0D0A 2J19 +
 5/19/1981	0D9A 2J19 +
 5/21/1981	0D9A 2J1A  
 5/22/1981	0E2A 2J1A  
 5/24/1981	0EDA 2J1A  
 5/26/1981	0J4A 2J1A  
 5/29/1981	071A 2J1A +
 5/31/1981	07AA 2J1A +
 6/ 2/1981	083A 2J1A +
 6/ 4/1981	08EA 2J1A +
 6/ 5/1981	0P8A 2J26 +
 6/ 6/1981	101A 2J26 +
 6/ 8/1981	10AA 2J26 +
 6/10/1981	113A 2J26 +
 6/13/1981	11EA 2J26 +
 6/15/1981	125A 2J26 +
 6/18/1981	12LA 2J26 +
 6/20/1981	137A 2J26 +
 6/21/1981	137A 2J27  
 6/23/1981	140A 2J27 -
 6/25/1981	0JJA 2J27 -
 6/27/1981	0L6A 2J27 -
 6/29/1981	0LPA 2J27 -
 6/30/1981	0LPA 2J33 -
 7/ 1/1981	0P8A 2J33 -
 7/ 3/1981	101A 2J33 -
 7/ 5/1981	10AA 2J33 -
 7/ 8/1981	113A 2J33 -
 7/10/1981	11EA 2J33 -
 7/13/1981	125A 2J33  
 7/15/1981	12LA 2J33  
 7/18/1981	1A3A 2J33  
 7/20/1981	1AEA 2J33  
 7/22/1981	149A 2J33  
 7/23/1981	149A 2J34 -
 7/24/1981	152A 2J34 -
 7/25/1981	152A 2J40 -
 7/26/1981	15DA 2J40 -
 7/28/1981	164A 2J40 -
 7/31/1981	16JA 2J40 -
 8/ 2/1981	176A 2J40  
 8/ 4/1981	17PA 2J40  
 8/ 7/1981	188A 2J40  
 8/ 9/1981	191A 2J40  
 8/12/1981	19AA 2J40  
 8/14/1981	1A3A 2J40  
 8/16/1981	1AEA 2J40  
 8/17/1981	1AEA 2J40 +
 8/18/1981	149A 2J40 +
 8/19/1981	149A 2J4E +
 8/21/1981	152A 2J4E +
 8/23/1981	15DA 2J4J  
 8/25/1981	164A 2J4J  
 8/27/1981	16JA 2J4J  
 8/29/1981	176A 2J4J  
 8/31/1981	17PA 2J4J  
 9/ 2/1981	1LDA 2J4J  
 9/ 3/1981	1P4A 2J4J +
 9/ 5/1981	1PJA 2J4J +
 9/ 8/1981	206A 2J4J +
 9/10/1981	20PA 2J4J +
 9/13/1981	218A 2J59 +
 9/15/1981	1D5A 2J59 +
 9/17/1981	1DLA 2J59 +
 9/19/1981	1E7A 2J59 +
 9/21/1981	1J0A 2J59 +
