 1/ 1/1979	42D9 1PJJ -
 5/14/2018	3J59 3589  
 5/16/2018	44D5 3589  
 5/18/2018	4545 3589  
 5/20/2018	45J5 3595  
 5/21/2018	45J5 3596 -
 5/22/2018	4665 3596 -
 5/24/2018	46P5 3596 -
 5/27/2018	4785 3596 -
 5/29/2018	4815 3596 -
 5/30/2018	4815 3596  
 5/31/2018	48A5 3596  
 6/ 3/2018	4935 3596  
 6/ 5/2018	49E5 3596  
 6/ 8/2018	4395 3596  
 6/10/2018	4425 3596  
 6/12/2018	44D5 3596  
 6/13/2018	44D5 3596 +
 6/14/2018	4545 35A2 +
 6/16/2018	45J5 35A2 +
 6/18/2018	4665 35A2 +
 6/21/2018	46P5 35A3  
 6/23/2018	4785 35A3  
 6/25/2018	4815 35A3  
 6/28/2018	48A5 35A3  
 6/29/2018	48A5 35A3 +
 6/30/2018	4935 35A3 +
 7/ 3/2018	49E5 35A3 +
 7/ 5/2018	4395 35A3 +
 7/ 8/2018	4425 35A3 +
 7/10/2018	44D5 35AP +
 7/12/2018	4545 35AP +
 7/14/2018	45J5 35AP +
 7/16/2018	4665 35AP +
 7/18/2018	46P5 35AP +
 7/20/2018	4785 35AP +
 7/22/2018	4815 35AP +
 7/23/2018	4815 35D0  
 7/25/2018	48A5 35D0  
 7/27/2018	4935 35D0  
 7/30/2018	49E5 35D0  
 8/ 1/2018	4395 35D0  
 8/ 4/2018	4425 35D0  
 8/ 6/2018	44D5 35D0  
 8/ 7/2018	44D5 35DE  
 8/ 8/2018	4545 35DE  
 8/10/2018	45J5 35DE  
 8/12/2018	4665 35DE  
 8/13/2018	3PA5 35DE  
 8/14/2018	4035 35DE  
 8/16/2018	40E5 35DE  
 8/19/2018	4155 35DE  
 8/21/2018	41L5 35DE  
 8/23/2018	41L5 35DJ -
 8/24/2018	4275 35DJ -
 8/26/2018	4305 35DJ -
 8/29/2018	3EJ5 35DJ -
 8/31/2018	3J65 35DJ -
 9/ 2/2018	3JP5 35DJ -
 9/ 5/2018	3L85 35DJ -
 9/ 6/2018	3L85 35DJ  
 9/ 7/2018	3P15 35DJ  
 9/ 9/2018	3PA5 35E9  
 9/11/2018	46P5 35E9  
 9/13/2018	4785 35E9  
 9/15/2018	4815 35E9  
 9/17/2018	48A5 35E9  
 9/20/2018	4935 35E9  
 9/22/2018	4935 35E9 +
 9/23/2018	49E5 35EA  
 9/25/2018	4395 35EA  
 9/27/2018	4425 35EA  
 9/30/2018	44D5 35EA  
10/ 2/2018	4545 35EA  
10/ 4/2018	45J5 35EA  
10/ 6/2018	4665 35EA  
10/ 8/2018	46P5 35EA  
10/10/2018	4785 35EA +
10/12/2018	4815 35EA +
10/15/2018	48A5 35EA +
10/17/2018	4935 35EA +
10/20/2018	49E5 35EA +
10/22/2018	4395 35EA +
10/23/2018	4395 35ED  
10/25/2018	4425 35ED  
10/27/2018	44D5 35ED  
10/29/2018	4545 35ED  
10/31/2018	45J5 35ED +
11/ 1/2018	45J5 35DP +
11/ 2/2018	4665 35DP +
11/ 4/2018	46P5 35DP +
11/ 7/2018	4779 35DP +
11/ 9/2018	4809 3E7P +
11/11/2018	4899 3E7P +
11/14/2018	4929 3E7P +
11/16/2018	5079 3E7P +
11/19/2018	4A49 3E7P +
11/21/2018	4AJ9 3E7P +
11/22/2018	4AJ9 3E80  
11/23/2018	4D69 3E80  
11/25/2018	4DP9 3E80  
11/27/2018	4E89 3E80  
11/29/2018	4J19 3E80  
12/ 1/2018	4J19 3E80 -
12/ 2/2018	4JA9 3E80 -
12/ 3/2018	4JA9 3E8E -
12/ 4/2018	4L39 3E8E -
12/ 6/2018	4LE9 3E8E -
12/ 9/2018	4P59 3E8E -
12/11/2018	4PL9 3E8E -
12/13/2018	4PL9 3E8E  
12/14/2018	5079 3E8E  
12/16/2018	4A49 3E8E  
12/18/2018	4AJ9 3E8E  
12/21/2018	4D69 3E8E  
12/22/2018	4D69 3E8J -
12/23/2018	4DP9 3E8J -
12/25/2018	4E89 3E8J -
12/27/2018	4J19 3E8J -
12/29/2018	4JA9 3E8J -
12/31/2018	4L39 3E8J -
 1/ 1/2019	03P9 3E8J -
 1/ 2/2019	0489 3E8J -
 1/ 5/2019	0519 3E8J  
 1/ 7/2019	05A9 3E99  
 1/10/2019	0639 3E99  
 1/12/2019	0009 3E99  
 1/15/2019	0099 3E99  
 1/17/2019	0129 3E99  
 1/19/2019	01D9 3E99  
 1/20/2019	01D9 3E9A -
 1/21/2019	0249 3E9A -
 1/23/2019	02J9 3E9A -
 1/24/2019	02J9 3E9A  
 1/25/2019	0369 3E9A  
 1/27/2019	03P9 3E9A  
 1/30/2019	0489 3E9A  
 2/ 1/2019	0519 3E9A  
 2/ 4/2019	05A9 3EA6  
 2/ 6/2019	0639 3EA6  
 2/ 9/2019	0009 3EA6  
 2/10/2019	0009 3EA6 +
 2/11/2019	0099 3EA6 +
 2/13/2019	0129 3EA6 +
 2/14/2019	07L9 3EA6 +
 2/16/2019	0879 3EA6 +
 2/18/2019	0909 3EA6 +
 2/19/2019	0909 3EA7  
 2/20/2019	0999 3EA7  
 2/22/2019	0A29 3EA7  
 2/24/2019	0AD9 3EA7  
 2/26/2019	0D49 3EA7  
 2/28/2019	0DJ9 3EA7  
 3/ 2/2019	0DJ9 3ED3  
 3/ 3/2019	0E69 3ED3  
 3/ 5/2019	0EP9 3ED3  
 3/ 6/2019	0J05 3ED3  
 3/ 8/2019	06J5 3ED3  
 3/10/2019	0765 3ED3  
 3/13/2019	07P5 3ED3  
 3/15/2019	0885 3ED3  
 3/17/2019	0915 3ED3  
 3/19/2019	09A5 3ED3  
 3/21/2019	0A35 3EA8 -
 3/23/2019	0AE5 3EA8 -
 3/25/2019	0D55 3EA8 -
 3/27/2019	0D55 3ED4 -
 3/28/2019	0DL5 3ED4 -
 3/30/2019	0E75 3ED4 -
 3/31/2019	1335 3ED4 -
 4/ 2/2019	13E5 3ED4 -
 4/ 4/2019	0J95 3ED4 -
 4/ 7/2019	0L25 3ED4 -
 4/ 9/2019	0LD5 3ED4 -
 4/11/2019	0P45 3ED4 -
 4/13/2019	0PJ5 3ED4 -
 4/15/2019	1065 3ED4 -
 4/17/2019	10P5 3ED4  
 4/20/2019	1185 3ED5 -
 4/21/2019	1185 3E31 -
 4/22/2019	1215 3E31 -
 4/24/2019	12A5 3E31 -
 4/26/2019	1335 3E31 -
 4/29/2019	13E5 3E31 -
 5/ 1/2019	0J95 3E31 -
 5/ 4/2019	0L25 3E31 -
 5/ 6/2019	0LD5 3E31 -
 5/ 7/2019	0LD5 3E31  
 5/ 8/2019	0P45 3E31  
 5/11/2019	0PJ5 3E31  
 5/13/2019	1065 3E31  
 5/15/2019	10P5 3E3J  
 5/16/2019	17D5 3E3J  
 5/17/2019	1845 3E3J  
 5/19/2019	18J5 3E3J  
 5/21/2019	1965 3E3L  
 5/24/2019	19P5 3E3L  
 5/26/2019	1A85 3E3L  
 5/29/2019	1455 3E3L  
 5/31/2019	14L5 3E3L  
 6/ 2/2019	1575 3E3L  
 6/ 5/2019	1605 3E3L +
 6/ 7/2019	1695 3E3L +
 6/ 9/2019	1725 3E4A +
 6/11/2019	17D5 3E4A +
 6/13/2019	1845 3E4A +
 6/15/2019	18J5 3E4A +
 6/18/2019	1965 3E4A +
 6/20/2019	19P5 3E4A +
 6/22/2019	19P5 3E4D  
 6/23/2019	1A85 3E4D  
 6/25/2019	1455 3E4D  
 6/27/2019	1455 3E4D +
 6/28/2019	14L5 3E4D +
 6/30/2019	1575 3E4D +
 7/ 2/2019	1EE5 3E4D +
 7/ 4/2019	1J55 3E57 +
 7/ 6/2019	1JL5 3E57 +
 7/ 8/2019	1L75 3E57 +
 7/10/2019	1P05 3E57 +
 7/13/2019	1P95 3E57 +
 7/15/2019	2025 3E57 +
 7/17/2019	20D5 3E57 +
 7/19/2019	20D5 3E57  
 7/20/2019	2145 3E57  
 7/22/2019	1D15 3E57  
 7/23/2019	1D15 3E58 -
 7/25/2019	1DA5 3E58 -
 7/27/2019	1E35 3E58 -
 7/28/2019	1E35 3E64 -
 7/29/2019	1EE5 3E64 -
 8/ 1/2019	1J55 3E64 -
 8/ 3/2019	1JL5 3E64 -
 8/ 5/2019	1L75 3E64 -
 8/ 7/2019	1P05 3E64 -
 8/ 9/2019	1P95 3E64 -
 8/11/2019	2025 3E64 -
 8/12/2019	2025 3E64  
 8/14/2019	20D5 3E64  
 8/16/2019	2145 3E64  
 8/18/2019	2805 3E64  
 8/19/2019	21J5 3E64  
 8/21/2019	2265 3E70  
 8/23/2019	2265 3E71 -
 8/24/2019	22P5 3E71 -
 8/26/2019	2385 3E71 -
 8/28/2019	2415 3E71 -
 8/29/2019	2415 3E71  
 8/30/2019	24A5 3E71  
 9/ 1/2019	2535 3E71  
 9/ 3/2019	25E5 3E71  
 9/ 5/2019	2655 3E71  
 9/ 7/2019	26L5 3E71  
 9/10/2019	2775 3E71  
 9/12/2019	2805 3E71  
 9/14/2019	2805 3E71 +
 9/15/2019	21J5 3E7J +
 9/17/2019	2265 3E7J +
 9/20/2019	22P5 3E7J +
 9/22/2019	2385 3E7J +
 9/23/2019	2385 3E7L  
 9/24/2019	2415 3E7L  
 9/26/2019	24A5 3E7L  
 9/28/2019	2535 3E7L  
 9/30/2019	25E5 3E7L  
10/ 2/2019	2655 3E7L  
10/ 3/2019	2655 3E7L +
10/ 4/2019	2J15 3E7L +
10/ 5/2019	2JA5 3E7L +
10/ 7/2019	2L35 3E7L +
10/ 9/2019	2L35 3E8A +
10/10/2019	2LE5 3E8A +
10/12/2019	2895 3E8A +
10/15/2019	2925 3E8A +
10/17/2019	29D5 3E8A +
10/19/2019	2A45 3E8A +
10/22/2019	2AJ5 3E8A +
10/24/2019	2D65 3E8D  
10/26/2019	2DP5 3E8D  
10/28/2019	2E85 3E8D  
10/30/2019	2J15 3E8D  
11/ 1/2019	2JA5 3E8D  
11/ 2/2019	2JA5 3E97  
11/ 3/2019	2L35 3E97  
11/ 6/2019	2LE5 3E97  
11/ 8/2019	2895 3E97  
11/11/2019	2925 3E97  
11/13/2019	29D5 3E97  
11/16/2019	2A45 3E97  
11/18/2019	2AJ5 3E97  
11/19/2019	3195 3E97  
11/20/2019	3225 3E97  
11/22/2019	32D5 3E97  
11/23/2019	32D5 3E98 -
11/24/2019	3345 3E98 -
11/26/2019	33J5 3EA4 -
11/29/2019	3465 3EA4 -
12/ 1/2019	34P5 3EA4 -
12/ 3/2019	3585 4364 -
12/ 6/2019	2P55 4364 -
12/ 8/2019	2PL5 4364 -
12/ 9/2019	2PL5 4364  
12/11/2019	3075 4364  
12/13/2019	3105 4364  
12/15/2019	3195 4364  
12/17/2019	3225 4364  
12/19/2019	32D5 4364  
12/20/2019	32D5 4370  
12/22/2019	3345 4371 -
12/24/2019	33J5 4371 -
12/26/2019	3465 4371 -
12/28/2019	34P5 4371 -
12/29/2019	34P5 4371  
12/31/2019	3585 4371  
 1/ 2/2020	2P55 4371  
 1/ 3/2020	3615 4371  
 1/ 5/2020	36A5 4371  
 1/ 7/2020	3735 4371  
 1/ 9/2020	37E5 4371  
 1/12/2020	3855 4371  
 1/14/2020	38L5 437J  
 1/16/2020	3975 437J  
 1/17/2020	3975 437J +
 1/18/2020	3A05 437J +
 1/20/2020	3A95 437J +
 1/21/2020	3A95 437L  
 1/22/2020	3D25 437L  
 1/25/2020	3DD5 437L  
 1/27/2020	3E45 437L  
 1/29/2020	3615 437L  
 2/ 1/2020	36A5 437L  
 2/ 3/2020	3735 437L +
 2/ 6/2020	37E5 437L +
 2/ 8/2020	3855 42PA +
 2/10/2020	38L5 42PA +
 2/12/2020	3975 42PA +
 2/14/2020	3A05 42PA +
 2/16/2020	4155 42PA +
 2/18/2020	41L5 42PA +
 2/19/2020	41L5 42PD  
 2/21/2020	4275 42PD  
 2/23/2020	4305 42PD  
 2/26/2020	3EJ5 42PD  
 2/28/2020	3J65 42PD  
 3/ 2/2020	3JP5 42PD  
 3/ 4/2020	3L85 42PD -
 3/ 5/2020	3L85 4307 -
 3/ 6/2020	3P15 4307 -
 3/ 8/2020	3PA5 4307 -
 3/10/2020	4035 4307 -
 3/12/2020	40E5 4307 -
 3/14/2020	4155 4307 -
 3/16/2020	4155 4307  
 3/17/2020	41L5 4307  
 3/19/2020	4275 4307  
 3/20/2020	4275 42PE -
 3/22/2020	4306 42PE -
 3/24/2020	3EJ6 42PE -
 3/27/2020	3J66 42PE -
 3/29/2020	3JP6 42PE -
 3/31/2020	4546 42PE -
 4/ 3/2020	45J6 42PE -
 4/ 4/2020	45J6 4308 -
 4/ 5/2020	4666 4308 -
 4/ 7/2020	46P6 4308 -
 4/ 9/2020	4786 4308 -
 4/11/2020	4816 4308  
 4/13/2020	48A6 4308  
 4/15/2020	4936 4308  
 4/18/2020	49E6 4308  
 4/20/2020	4396 4309 -
 4/23/2020	4426 4309 -
 4/25/2020	44D6 4309 -
 4/28/2020	4546 4309  
 4/30/2020	45J6 4309  
 5/ 2/2020	4666 4309  
 5/ 4/2020	46P6 4309  
 5/ 6/2020	4786 4309  
 5/ 8/2020	4816 4309  
 5/10/2020	48A6 4309  
 5/12/2020	48A6 4309 +
 5/13/2020	4PP6 4309 +
 5/15/2020	5086 4309 +
 5/18/2020	4A56 4309 +
 5/20/2020	4AL6 4309 +
 5/21/2020	4AL6 430A  
 5/23/2020	4D76 430A  
 5/25/2020	4E06 430A  
 5/27/2020	4E96 430A  
 5/29/2020	4J26 430A +
 6/ 1/2020	4JD6 430A +
 6/ 3/2020	4L46 430A +
 6/ 5/2020	4LJ6 430A +
 6/ 7/2020	4P66 430A +
 6/ 9/2020	4PP6 430A +
 6/11/2020	5086 430A +
 6/14/2020	4A56 430A +
 6/16/2020	4AL6 430A +
 6/19/2020	4D76 430A +
 6/21/2020	4E06 430D  
 6/24/2020	4E96 430D  
 6/26/2020	4J26 430D  
 6/28/2020	0376 430D  
 6/30/2020	0406 430D  
 7/ 2/2020	0495 430D  
 7/ 4/2020	0525 430D  
 7/ 6/2020	05D5 430D  
 7/ 9/2020	0645 430D  
 7/11/2020	0015 430D  
 7/14/2020	00A5 430D  
 7/16/2020	0135 430D  
 7/19/2020	01E5 430D  
 7/21/2020	0255 430D  
 7/22/2020	0255 430E -
 7/23/2020	02L5 430E -
 7/25/2020	0375 430E -
 7/27/2020	0405 430E -
 7/29/2020	0495 430E -
 7/31/2020	0525 430E -
 8/ 3/2020	05D5 430E -
 8/ 5/2020	0645 430E  
 8/ 8/2020	0015 4318  
 8/10/2020	00A5 4318  
 8/13/2020	0135 4318  
 8/15/2020	01E5 4318  
 8/17/2020	0255 4318  
 8/19/2020	02L5 4318  
 8/20/2020	02L5 4318 +
 8/21/2020	0375 4318 +
 8/23/2020	0405 4319  
 8/26/2020	0495 4319  
 8/28/2020	0525 4319  
 8/30/2020	05D5 4319  
 9/ 1/2020	0645 4319  
 9/ 4/2020	0015 4319  
 9/ 6/2020	00A5 4325 +
 9/ 9/2020	0135 4325 +
 9/11/2020	01E5 4325 +
 9/14/2020	0255 4325 +
 9/16/2020	02L5 4325 +
 9/18/2020	0375 4325 +
 9/20/2020	0405 4325 +
 9/22/2020	0495 4325 +
 9/23/2020	0495 4326  
 9/24/2020	0525 4326  
 9/26/2020	05D5 4326  
 9/27/2020	05D5 4326 +
 9/29/2020	0645 4326 +
10/ 1/2020	0015 4326 +
10/ 3/2020	0015 4332 +
10/ 4/2020	00A5 4332 +
10/ 6/2020	0135 4332 +
10/ 9/2020	01E5 4332 +
10/11/2020	0255 4332 +
10/13/2020	02L5 4332 +
10/15/2020	0375 4332 +
10/17/2020	0405 4332 +
10/19/2020	0495 4332 +
10/21/2020	0525 4332 +
10/23/2020	0525 4333  
10/24/2020	05D5 4333  
10/26/2020	0645 4333  
10/28/2020	0015 433P -
10/31/2020	00A5 433P -
11/ 2/2020	0135 433P -
11/ 5/2020	01E5 433P -
11/ 7/2020	0255 433P -
11/10/2020	02L5 433P -
11/11/2020	02L5 433P  
11/12/2020	0375 433P  
11/14/2020	0405 433P  
11/16/2020	0495 433P  
11/18/2020	0525 433P  
11/20/2020	05D5 433P  
11/22/2020	0645 434E -
11/25/2020	0015 434E -
11/27/2020	00A5 434E -
11/30/2020	0135 434E -
12/ 2/2020	01E5 434E  
12/ 5/2020	0255 434E  
12/ 7/2020	02L5 434E  
12/ 9/2020	0375 434E  
12/11/2020	0405 434E  
12/13/2020	0495 434E  
12/15/2020	0525 434E  
12/16/2020	0525 4358  
12/17/2020	05D6 4358  
12/20/2020	0646 4A18  
12/21/2020	0646 4A19  
12/22/2020	0016 4A19  
12/24/2020	00A6 4A19  
12/27/2020	0136 4A19  
12/29/2020	01E6 4A19  
 1/ 1/2021	0256 4A19  
 1/ 3/2021	02L6 4A19  
 1/ 5/2021	0376 4A19  
 1/ 7/2021	0AE6 4A19  
 1/ 8/2021	0AE6 4A19 +
 1/ 9/2021	0D56 4A25 +
 1/12/2021	0DL6 4A25 +
 1/14/2021	0E76 4A25 +
 1/16/2021	0J06 4A25 +
 1/18/2021	06J6 4A25 +
 1/20/2021	06J6 4A26  
 1/21/2021	0766 4A26  
 1/23/2021	07P6 4A26  
 1/26/2021	0886 4A26  
 1/28/2021	0916 4A26  
 1/30/2021	09A6 4A26  
 2/ 1/2021	0A36 4A26  
 2/ 2/2021	0A36 4A32  
 2/ 4/2021	0AE6 4A32  
 2/ 6/2021	0D56 4A32  
 2/ 8/2021	0DL6 4A32  
 2/10/2021	0E76 4A32  
 2/12/2021	0J06 4A32  
 2/15/2021	06J6 4A32  
 2/17/2021	0766 4A32  
 2/18/2021	0766 4A33 -
 2/20/2021	07P6 4A33 -
 2/22/2021	0886 4A33 -
 2/25/2021	0916 4A33 -
 2/26/2021	0916 4A3P -
 2/27/2021	09A6 4A3P -
 3/ 1/2021	0A36 4A3P -
 3/ 3/2021	0AE6 4A3P -
 3/ 4/2021	1186 4A3P -
 3/ 5/2021	1216 4A3P -
 3/ 7/2021	12A6 4A3P -
 3/ 9/2021	1336 4A3P -
 3/12/2021	13E6 4A3P -
 3/14/2021	0J96 4A3P -
 3/16/2021	0L26 4A3P  
 3/19/2021	0LD6 4A3P  
 3/20/2021	0LD6 4A34 -
 3/22/2021	0P46 49D0 -
 3/24/2021	0PJ6 49D0 -
 3/26/2021	1066 49D0 -
 3/28/2021	10P6 49D0 -
 3/30/2021	1186 49D0 -
 4/ 1/2021	1216 49D0 -
 4/ 3/2021	12A6 49D0 -
 4/ 4/2021	12A6 49D0  
 4/ 6/2021	1336 49D0  
 4/ 8/2021	13E6 49D0  
 4/10/2021	0J96 49D0  
 4/13/2021	0L26 49D0  
 4/15/2021	0LD6 49DE  
 4/18/2021	0P46 49DE  
 4/19/2021	0P46 49DE +
 4/20/2021	0PJ6 49DJ  
 4/23/2021	1726 49DJ  
 4/25/2021	17D6 49DJ  
 4/27/2021	1846 49DJ  
 4/29/2021	18J6 49DJ  
 5/ 1/2021	1966 49DJ  
 5/ 3/2021	19P6 49DJ  
 5/ 4/2021	19P6 49DJ +
 5/ 5/2021	1A86 49DJ +
 5/ 7/2021	1456 49DJ +
 5/ 9/2021	1456 49E9 +
 5/10/2021	14L6 49E9 +
 5/13/2021	1576 49E9 +
 5/14/2021	1576 5089 +
 5/15/2021	1606 5089 +
 5/18/2021	1696 5089 +
 5/20/2021	1726 5089 +
 5/21/2021	1726 508A  
 5/22/2021	17D6 508A  
 5/24/2021	1846 508A  
 5/26/2021	18J6 508A  
 5/28/2021	1966 508A  
 5/30/2021	19P6 508A  
 6/ 1/2021	1A86 508A  
 6/ 3/2021	1A86 5096  
 6/ 4/2021	1456 5096  
 6/ 6/2021	14L6 5096  
 6/ 9/2021	1576 5096  
 6/11/2021	1606 5096  
 6/12/2021	1EE6 5096  
 6/14/2021	1J56 5096  
 6/16/2021	1JL6 5096  
 6/18/2021	1L76 5096  
 6/20/2021	1P06 5096  
 6/21/2021	1P06 5097 -
 6/23/2021	1P96 5097 -
 6/25/2021	2026 5097 -
 6/27/2021	20D6 50A3 -
 6/29/2021	2146 50A3 -
 7/ 1/2021	1D16 50A3 -
 7/ 4/2021	1DA6 50A3 -
 7/ 6/2021	1E36 50A3 -
 7/ 9/2021	1EE6 50A3 -
 7/11/2021	1J56 50A3 -
 7/12/2021	1J56 50A3  
 7/13/2021	1JL6 50A3  
 7/16/2021	1L76 50A3  
 7/18/2021	1P06 50A3  
 7/20/2021	1P96 50A3  
 7/22/2021	2026 50AP  
 7/23/2021	2026 50D0 -
 7/24/2021	20D6 50D0 -
 7/26/2021	2146 50D0 -
 7/28/2021	1D16 50D0  
 7/29/2021	1D16 49P0  
 7/30/2021	21J6 49P0  
 7/31/2021	2266 49P0  
 8/ 2/2021	22P6 49P0  
 8/ 5/2021	2386 49P0  
 8/ 7/2021	2416 49P0  
 8/10/2021	24A6 49P0  
 8/12/2021	2536 49P0 +
 8/14/2021	25E6 49P0 +
 8/16/2021	2656 49PE +
 8/18/2021	26L6 49PE +
 8/20/2021	2776 49PE +
 8/23/2021	2806 49PJ  
 8/25/2021	21J6 49PJ  
 8/27/2021	2266 49PJ  
 8/30/2021	22P6 49PJ +
 9/ 1/2021	2386 49PJ +
 9/ 4/2021	2416 49PJ +
 9/ 6/2021	24A6 49PJ +
 9/ 8/2021	2536 49PJ +
 9/10/2021	25E6 49PJ +
 9/11/2021	25E6 4A09 +
 9/12/2021	2656 4A09 +
 9/14/2021	26L6 4A09 +
 9/15/2021	2JA6 4A09 +
 9/17/2021	2L36 4A09 +
 9/19/2021	2LE6 4A09 +
 9/21/2021	2896 4A09 +
 9/23/2021	2896 4A0A  
 9/24/2021	2926 4A0A  
 9/26/2021	29D6 4A0A  
 9/29/2021	2A46 4A0A  
10/ 1/2021	2AJ6 4A0A  
10/ 3/2021	2D66 4A0A  
10/ 6/2021	2DP6 4A0A  
10/ 7/2021	2DP6 4A16  
10/ 8/2021	2E86 4A16  
10/10/2021	2J16 4A16  
10/12/2021	2JA6 4A16  
10/14/2021	2L36 4A16  
10/16/2021	2LE6 4A16  
10/18/2021	2896 4A16  
10/21/2021	2926 4A16  
10/23/2021	29D6 4A17 -
10/26/2021	2A46 4A17 -
10/28/2021	2AJ6 4A17 -
10/31/2021	3226 4A17 -
11/ 2/2021	32D6 4A17 -
11/ 4/2021	3346 4A17 -
11/ 5/2021	3346 4A23 -
11/ 6/2021	33J6 4A23  
11/ 8/2021	3466 4A23  
11/10/2021	34P6 4A23  
11/12/2021	3586 4A23  
11/15/2021	2P56 4A23  
11/17/2021	2PL6 4A23  
11/20/2021	3076 4A23  
11/22/2021	3106 4A24 -
11/25/2021	3196 4A24  
11/27/2021	3226 4A24  
11/29/2021	32D6 4A24  
12/ 1/2021	3346 4A24  
12/ 4/2021	33J6 4A24  
12/ 5/2021	3466 4A24  
12/ 7/2021	34P6 4A24  
12/10/2021	3586 4A24  
12/12/2021	2P56 4A24  
12/13/2021	3616 4A24  
12/14/2021	36A6 4A24 +
12/17/2021	3736 4A24 +
12/19/2021	37E6 4A24 +
12/22/2021	3856 4A25  
12/24/2021	38L6 4A25  
12/27/2021	3976 4A25  
12/29/2021	3A06 50L5  
12/31/2021	3A96 50L5  
 1/ 2/2022	3D26 50L5 +
 1/ 4/2022	3DD6 50L5 +
 1/ 6/2022	3E46 50L5 +
 1/ 8/2022	3616 50L5 +
 1/11/2022	36A6 50L5 +
 1/13/2022	3736 50L5 +
 1/16/2022	37E6 50L5 +
 1/18/2022	3856 50L5 +
 1/20/2022	3856 50L6  
 1/21/2022	38L6 50L6  
 1/23/2022	3976 50L6  
 1/25/2022	40E6 50L6  
 1/26/2022	40E6 50L6 -
 1/27/2022	4156 50L6 -
 1/29/2022	41L6 50L6 -
 1/31/2022	4276 50L6 -
 2/ 2/2022	4306 50L6 -
 2/ 5/2022	3EJ6 50L6 -
 2/ 7/2022	3J66 50L6 -
 2/ 9/2022	3JP6 50L6 -
 2/12/2022	3L86 50L6 -
 2/14/2022	3P16 50L6 -
 2/15/2022	3P16 50L6  
 2/17/2022	3PA6 50L6  
 2/19/2022	4036 50L7 -
 2/21/2022	40E6 50L7 -
 2/24/2022	4156 50L7 -
 2/26/2022	41L6 50L7 -
 2/28/2022	4276 50L7 -
 3/ 2/2022	4306 50L7 -
 3/ 4/2022	3EJ6 50L7 -
 3/ 6/2022	4426 50P3 -
 3/ 9/2022	44D6 50P3 -
 3/10/2022	44D6 50P3  
 3/11/2022	4546 50P3  
 3/14/2022	45J6 50P3  
 3/16/2022	4666 50P3  
 3/18/2022	46P6 50P3  
 3/21/2022	4786 50L8 -
 3/23/2022	4816 50L8 -
 3/25/2022	48A6 50L8 -
 3/27/2022	4936 50L8  
 3/29/2022	49E6 50L8  
 3/31/2022	4396 50L8  
 4/ 3/2022	4426 50L8  
 4/ 5/2022	44D6 50L8  
 4/ 6/2022	44D6 50P4  
 4/ 8/2022	4546 50P4  
 4/10/2022	45J6 50P4  
 4/11/2022	45J6 50P4 +
 4/13/2022	4666 50P4 +
 4/15/2022	4JD6 50P4 +
 4/17/2022	4L46 50P4 +
 4/19/2022	4LJ6 50P4 +
 4/20/2022	4LJ6 50P5  
 4/21/2022	4P66 50P5  
 4/23/2022	4PP6 50P5  
 4/25/2022	5086 50P5  
 4/28/2022	4A56 50P5  
 4/30/2022	4AL6 50P5 +
 5/ 2/2022	4D76 50P5 +
 5/ 3/2022	4D76 5071 +
 5/ 5/2022	4E06 5071 +
 5/ 7/2022	4E96 5071 +
 5/10/2022	4J26 5071 +
 5/11/2022	4J26 0631 +
 5/12/2022	4JD6 0631 +
 5/14/2022	4L46 0631 +
 5/16/2022	4LJ6 0631 +
 5/19/2022	4P66 0631 +
 5/21/2022	4PP6 0632  
 5/23/2022	5086 0632 -
 5/25/2022	0016 0632 -
 5/27/2022	00A6 0632 -
 5/29/2022	00A6 063L -
 5/30/2022	0136 063L -
 6/ 1/2022	01E6 063L -
 6/ 4/2022	0256 063L -
 6/ 6/2022	02L6 063L -
 6/ 9/2022	0376 063L -
 6/11/2022	0406 063L -
 6/13/2022	0496 063L -
 6/14/2022	0496 063L  
 6/15/2022	0526 063L  
 6/17/2022	05D6 063L  
 6/19/2022	0646 063L  
 6/21/2022	0016 063P -
 6/23/2022	00A6 064D -
 6/26/2022	0136 064D -
 6/28/2022	01E6 064D -
 7/ 1/2022	0256 064D -
 7/ 4/2022	02L6 064D -
 7/ 5/2022	09A6 064D  
 7/ 6/2022	0A36 064D  
 7/ 8/2022	0AE6 064D  
 7/10/2022	0D56 064D  
 7/12/2022	0DL6 064D  
 7/14/2022	0E76 064D  
 7/16/2022	0J06 064D  
 7/18/2022	06J6 0657  
 7/20/2022	06J6 0657 +
 7/21/2022	0766 0657 +
 7/23/2022	07P6 0658  
 7/26/2022	0886 0658  
 7/28/2022	0916 0658  
 7/31/2022	09A6 0658  
 8/ 2/2022	0A36 0658  
 8/ 4/2022	0AE6 0658 +
 8/ 7/2022	0D56 0658 +
 8/ 9/2022	0DL6 0658 +
 8/11/2022	0E76 0658 +
 8/12/2022	0E76 0664 +
 8/13/2022	0J06 0664 +
 8/15/2022	06J6 0664 +
 8/17/2022	0766 0664 +
 8/20/2022	0LD6 0664 +
 8/22/2022	0P46 0664 +
 8/23/2022	0P46 0665  
 8/25/2022	0PJ6 0665  
 8/26/2022	0PJ6 0665 +
 8/27/2022	1066 0665 +
 8/29/2022	10P6 0665 +
 9/ 1/2022	1186 0665 +
 9/ 3/2022	1216 0665 +
 9/ 5/2022	12A6 0671 +
 9/ 7/2022	1336 0671 +
 9/ 9/2022	13E6 0671 +
 9/11/2022	0J96 0671 +
 9/13/2022	0L26 0671 +
 9/16/2022	0LD6 0671 +
